order_id,order_date,region,segment,category,sub_category,quantity,discount,sales,profit
ORD-100731,2023-01-07,Sharjah,Consumer,Office Supplies,Binders,1,0.1,34.08,12.27
ORD-102716,2023-01-07,Dubai,SMB,Office Supplies,Binders,3,0.1,105.94,38.14
ORD-102702,2023-01-07,Abu Dhabi,Corporate,Technology,Laptops,7,0.1,7462.85,746.29
ORD-105459,2023-01-08,Abu Dhabi,Consumer,Furniture,Bookcases,3,0.0,1642.74,459.97
ORD-100537,2023-01-08,Northern Emirates,Consumer,Furniture,Bookcases,3,0.15,1640.49,311.69
ORD-101692,2023-01-08,Sharjah,Consumer,Technology,Laptops,3,0.0,1475.6,236.1
ORD-101056,2023-01-08,Dubai,Consumer,Technology,Monitors,8,0.1,6197.45,619.74
ORD-101718,2023-01-08,Abu Dhabi,Consumer,Office Supplies,Pens,4,0.0,91.29,38.34
ORD-105421,2023-01-08,Dubai,Consumer,Technology,Phones,5,0.0,5394.3,863.09
ORD-100646,2023-01-08,Abu Dhabi,Corporate,Technology,Phones,4,0.0,2764.55,442.33
ORD-104166,2023-01-08,Dubai,Consumer,Technology,Phones,8,0.0,5782.1,925.14
ORD-105205,2023-01-09,Dubai,Corporate,Technology,Monitors,5,0.1,3470.11,347.01
ORD-103408,2023-01-09,Dubai,Consumer,Technology,Monitors,1,0.0,470.69,75.31
ORD-102836,2023-01-09,Dubai,Consumer,Technology,Monitors,6,0.15,2694.79,188.64
ORD-103919,2023-01-09,Dubai,Corporate,Furniture,Tables,5,0.2,563.63,90.18
ORD-101576,2023-01-10,Dubai,Consumer,Furniture,Bookcases,6,0.0,2524.2,706.78
ORD-100393,2023-01-10,Northern Emirates,Corporate,Technology,Accessories,8,0.0,4606.4,737.02
ORD-102742,2023-01-10,Northern Emirates,Corporate,Office Supplies,Paper,5,0.0,352.22,147.93
ORD-103237,2023-01-10,Dubai,Corporate,Furniture,Tables,7,0.15,1489.01,282.91
ORD-100523,2023-01-10,Abu Dhabi,Corporate,Furniture,Tables,7,0.15,2224.06,422.57
ORD-101089,2023-01-10,Abu Dhabi,Consumer,Furniture,Tables,3,0.0,1068.75,299.25
ORD-104753,2023-01-10,Abu Dhabi,Consumer,Furniture,Tables,5,0.1,1126.81,247.9
ORD-104118,2023-01-10,Abu Dhabi,SMB,Technology,Laptops,8,0.0,4673.63,747.78
ORD-102220,2023-01-10,Dubai,SMB,Technology,Phones,8,0.15,1830.85,128.16
ORD-104737,2023-01-11,Abu Dhabi,Consumer,Office Supplies,Storage,5,0.0,253.64,106.53
ORD-104458,2023-01-11,Dubai,Consumer,Furniture,Tables,2,0.0,918.65,257.22
ORD-102183,2023-01-11,Dubai,Corporate,Furniture,Bookcases,1,0.0,329.36,92.22
ORD-104936,2023-01-11,Sharjah,Corporate,Technology,Accessories,2,0.0,653.27,104.52
ORD-102808,2023-01-11,Northern Emirates,Consumer,Technology,Monitors,5,0.1,3214.09,321.41
ORD-104399,2023-01-11,Northern Emirates,Consumer,Technology,Monitors,6,0.15,3842.78,268.99
ORD-102871,2023-01-11,Abu Dhabi,Consumer,Technology,Laptops,8,0.2,3904.66,156.19
ORD-102310,2023-01-12,Abu Dhabi,Consumer,Technology,Laptops,7,0.2,3426.36,137.05
ORD-105601,2023-01-12,Dubai,Consumer,Technology,Monitors,3,0.0,2787.24,445.96
ORD-100347,2023-01-12,Dubai,SMB,Furniture,Tables,8,0.0,4786.38,1340.19
ORD-103431,2023-01-12,Dubai,Consumer,Office Supplies,Binders,4,0.1,248.83,89.58
ORD-103998,2023-01-12,Dubai,Corporate,Furniture,Tables,8,0.1,3633.76,799.43
ORD-104203,2023-01-12,Dubai,Consumer,Furniture,Tables,8,0.3,5606.68,560.67
ORD-104408,2023-01-13,Abu Dhabi,Consumer,Office Supplies,Storage,4,0.2,119.07,35.72
ORD-103194,2023-01-13,Sharjah,Consumer,Office Supplies,Pens,4,0.1,118.25,42.57
ORD-102360,2023-01-13,Dubai,Consumer,Technology,Phones,2,0.1,1234.7,123.47
ORD-103723,2023-01-13,Sharjah,Consumer,Furniture,Tables,4,0.2,1905.87,304.94
ORD-101793,2023-01-13,Northern Emirates,Consumer,Furniture,Tables,2,0.0,683.41,191.35
ORD-103982,2023-01-13,Sharjah,Corporate,Office Supplies,Binders,2,0.1,49.87,17.95
ORD-100264,2023-01-13,Sharjah,Consumer,Technology,Laptops,1,0.0,687.91,110.07
ORD-101644,2023-01-13,Abu Dhabi,Corporate,Technology,Laptops,6,0.0,1936.82,309.89
ORD-104912,2023-01-13,Sharjah,Consumer,Technology,Accessories,8,0.1,6342.06,634.21
ORD-103034,2023-01-13,Dubai,Corporate,Office Supplies,Storage,5,0.2,227.79,68.34
ORD-100692,2023-01-13,Abu Dhabi,SMB,Furniture,Tables,1,0.1,663.73,146.02
ORD-101389,2023-01-13,Abu Dhabi,Consumer,Furniture,Storage,7,0.0,2265.23,634.26
ORD-105661,2023-01-13,Northern Emirates,SMB,Furniture,Storage,2,0.0,824.88,230.97
ORD-100390,2023-01-13,Dubai,SMB,Furniture,Storage,4,0.1,1068.63,235.1
ORD-100575,2023-01-13,Dubai,SMB,Furniture,Storage,2,0.0,713.65,199.82
ORD-100854,2023-01-13,Abu Dhabi,Consumer,Furniture,Bookcases,5,0.3,2403.37,240.34
ORD-105931,2023-01-14,Sharjah,Consumer,Furniture,Bookcases,8,0.0,3052.91,854.81
ORD-104086,2023-01-14,Sharjah,Consumer,Technology,Laptops,5,0.2,5382.11,215.28
ORD-105447,2023-01-14,Sharjah,Corporate,Furniture,Storage,5,0.15,1538.31,292.28
ORD-104908,2023-01-14,Dubai,Consumer,Technology,Monitors,4,0.2,1502.2,60.09
ORD-104863,2023-01-14,Sharjah,Corporate,Technology,Monitors,8,0.0,3505.01,560.8
ORD-101755,2023-01-14,Northern Emirates,Corporate,Technology,Phones,8,0.15,5294.98,370.65
ORD-105008,2023-01-14,Sharjah,SMB,Furniture,Tables,3,0.0,1086.9,304.33
ORD-101791,2023-01-15,Sharjah,Consumer,Technology,Accessories,4,0.0,2254.97,360.8
ORD-101782,2023-01-15,Abu Dhabi,Corporate,Technology,Accessories,2,0.1,534.17,53.42
ORD-100929,2023-01-15,Abu Dhabi,Corporate,Furniture,Storage,6,0.0,1775.67,497.19
ORD-105479,2023-01-15,Northern Emirates,Corporate,Technology,Phones,2,0.2,1127.16,45.09
ORD-100121,2023-01-15,Northern Emirates,Corporate,Furniture,Storage,8,0.0,4059.15,1136.56
ORD-105684,2023-01-15,Abu Dhabi,Consumer,Technology,Accessories,8,0.0,4176.85,668.3
ORD-105977,2023-01-15,Abu Dhabi,Corporate,Furniture,Chairs,6,0.3,1148.1,114.81
ORD-104259,2023-01-15,Sharjah,SMB,Office Supplies,Paper,8,0.0,626.09,262.96
ORD-101724,2023-01-15,Dubai,Corporate,Furniture,Bookcases,7,0.0,3063.72,857.84
ORD-104535,2023-01-16,Sharjah,Consumer,Technology,Accessories,5,0.0,4751.09,760.17
ORD-100633,2023-01-16,Sharjah,Consumer,Furniture,Tables,1,0.0,259.18,72.57
ORD-105255,2023-01-16,Abu Dhabi,Corporate,Furniture,Bookcases,5,0.15,3147.28,597.98
ORD-104054,2023-01-16,Sharjah,Consumer,Technology,Accessories,3,0.1,2737.32,273.73
ORD-100805,2023-01-16,Abu Dhabi,SMB,Furniture,Storage,4,0.0,1244.56,348.48
ORD-104799,2023-01-16,Abu Dhabi,Consumer,Technology,Phones,5,0.15,3689.13,258.24
ORD-103280,2023-01-16,Abu Dhabi,SMB,Technology,Phones,7,0.0,5360.81,857.73
ORD-105892,2023-01-16,Abu Dhabi,Corporate,Furniture,Chairs,7,0.15,1787.23,339.57
ORD-105324,2023-01-16,Dubai,SMB,Technology,Phones,8,0.0,6251.4,1000.22
ORD-101731,2023-01-16,Abu Dhabi,Consumer,Office Supplies,Storage,6,0.3,48.0,11.52
ORD-103861,2023-01-17,Dubai,Consumer,Technology,Accessories,8,0.15,5770.21,403.91
ORD-100050,2023-01-17,Sharjah,Corporate,Furniture,Bookcases,6,0.15,3050.18,579.53
ORD-105168,2023-01-17,Dubai,Corporate,Technology,Phones,4,0.3,3288.07,-65.76
ORD-102732,2023-01-17,Abu Dhabi,SMB,Technology,Monitors,1,0.0,381.1,60.98
ORD-104690,2023-01-17,Dubai,SMB,Technology,Phones,7,0.0,4894.07,783.05
ORD-104249,2023-01-17,Abu Dhabi,Consumer,Furniture,Bookcases,4,0.15,1562.8,296.93
ORD-105598,2023-01-17,Abu Dhabi,Corporate,Furniture,Storage,6,0.0,3078.96,862.11
ORD-101666,2023-01-17,Abu Dhabi,SMB,Technology,Monitors,4,0.1,2360.93,236.09
ORD-100408,2023-01-17,Sharjah,Consumer,Furniture,Tables,3,0.1,1454.85,320.07
ORD-101215,2023-01-18,Dubai,SMB,Technology,Phones,3,0.2,1428.63,57.15
ORD-102658,2023-01-18,Abu Dhabi,Consumer,Furniture,Bookcases,8,0.0,3257.9,912.21
ORD-105944,2023-01-18,Sharjah,Consumer,Furniture,Chairs,1,0.0,372.66,104.34
ORD-105721,2023-01-18,Abu Dhabi,Consumer,Technology,Laptops,4,0.0,995.52,159.28
ORD-104362,2023-01-18,Northern Emirates,SMB,Technology,Monitors,4,0.0,1734.39,277.5
ORD-102540,2023-01-18,Dubai,Corporate,Technology,Accessories,2,0.0,1362.24,217.96
ORD-104559,2023-01-18,Abu Dhabi,Corporate,Office Supplies,Paper,7,0.0,433.67,182.14
ORD-101697,2023-01-18,Sharjah,SMB,Furniture,Storage,6,0.3,2220.28,222.03
ORD-104814,2023-01-18,Dubai,SMB,Office Supplies,Binders,3,0.0,115.81,48.64
ORD-102783,2023-01-18,Abu Dhabi,Consumer,Office Supplies,Storage,1,0.1,89.04,32.05
ORD-103315,2023-01-19,Abu Dhabi,SMB,Technology,Laptops,8,0.0,786.13,125.78
ORD-104786,2023-01-19,Dubai,Consumer,Technology,Monitors,2,0.3,1380.98,-27.62
ORD-103221,2023-01-19,Abu Dhabi,Consumer,Office Supplies,Pens,5,0.0,224.79,94.41
ORD-105924,2023-01-19,Abu Dhabi,Consumer,Technology,Accessories,4,0.15,1091.64,76.41
ORD-103965,2023-01-19,Northern Emirates,SMB,Technology,Laptops,6,0.1,3568.54,356.85
ORD-101503,2023-01-19,Abu Dhabi,SMB,Technology,Monitors,7,0.0,4225.78,676.12
ORD-103748,2023-01-19,Dubai,Corporate,Technology,Accessories,2,0.1,1670.3,167.03
ORD-100593,2023-01-19,Sharjah,Consumer,Furniture,Bookcases,4,0.1,1446.6,318.25
ORD-102706,2023-01-19,Abu Dhabi,SMB,Furniture,Storage,4,0.2,2034.21,325.47
ORD-105327,2023-01-19,Sharjah,Consumer,Technology,Accessories,5,0.0,3862.17,617.95
ORD-104752,2023-01-20,Sharjah,SMB,Technology,Laptops,6,0.15,4196.53,293.76
ORD-100389,2023-01-20,Dubai,SMB,Technology,Monitors,5,0.0,3947.62,631.62
ORD-102763,2023-01-20,Dubai,Corporate,Office Supplies,Storage,6,0.2,306.17,91.85
ORD-101078,2023-01-20,Abu Dhabi,Corporate,Furniture,Chairs,7,0.0,3010.6,842.97
ORD-104423,2023-01-21,Dubai,SMB,Technology,Phones,1,0.0,522.89,83.66
ORD-102145,2023-01-21,Dubai,Consumer,Office Supplies,Pens,8,0.0,207.61,87.2
ORD-101875,2023-01-21,Abu Dhabi,Consumer,Furniture,Bookcases,8,0.15,5050.24,959.55
ORD-104256,2023-01-21,Abu Dhabi,Corporate,Technology,Monitors,5,0.1,1650.7,165.07
ORD-105174,2023-01-21,Northern Emirates,Consumer,Technology,Accessories,6,0.0,2574.48,411.92
ORD-104359,2023-01-21,Northern Emirates,Corporate,Office Supplies,Paper,2,0.2,98.62,29.59
ORD-104911,2023-01-21,Sharjah,Corporate,Technology,Laptops,6,0.0,1729.88,276.78
ORD-104463,2023-01-22,Northern Emirates,SMB,Office Supplies,Binders,2,0.1,117.74,42.39
ORD-100836,2023-01-22,Abu Dhabi,Corporate,Furniture,Bookcases,6,0.0,3178.34,889.94
ORD-100999,2023-01-22,Abu Dhabi,Consumer,Technology,Phones,4,0.0,2460.78,393.72
ORD-105076,2023-01-22,Dubai,Corporate,Office Supplies,Binders,7,0.1,299.87,107.95
ORD-100232,2023-01-22,Abu Dhabi,Corporate,Furniture,Tables,6,0.2,1286.17,205.79
ORD-105511,2023-01-22,Sharjah,Corporate,Technology,Phones,4,0.0,2296.91,367.51
ORD-100308,2023-01-22,Dubai,SMB,Technology,Accessories,4,0.2,3101.01,124.04
ORD-101779,2023-01-22,Abu Dhabi,Corporate,Office Supplies,Storage,8,0.1,337.65,121.55
ORD-104567,2023-01-23,Dubai,Consumer,Furniture,Chairs,3,0.15,595.72,113.19
ORD-103012,2023-01-23,Northern Emirates,Consumer,Furniture,Bookcases,6,0.0,3598.05,1007.45
ORD-104229,2023-01-23,Northern Emirates,Corporate,Technology,Accessories,4,0.0,4169.61,667.14
ORD-105727,2023-01-23,Abu Dhabi,Corporate,Furniture,Storage,2,0.0,372.68,104.35
ORD-104614,2023-01-23,Sharjah,Consumer,Office Supplies,Pens,7,0.0,333.51,140.07
ORD-105241,2023-01-24,Dubai,SMB,Technology,Laptops,7,0.0,5979.97,956.8
ORD-105528,2023-01-24,Dubai,Corporate,Technology,Phones,4,0.1,2450.54,245.05
ORD-101441,2023-01-25,Sharjah,SMB,Technology,Phones,8,0.2,5805.6,232.22
ORD-101093,2023-01-25,Dubai,Corporate,Technology,Laptops,4,0.0,1537.02,245.92
ORD-101721,2023-01-25,Abu Dhabi,Consumer,Office Supplies,Paper,3,0.1,141.51,50.94
ORD-105102,2023-01-25,Sharjah,Consumer,Furniture,Bookcases,5,0.0,2245.55,628.75
ORD-104492,2023-01-25,Dubai,Corporate,Furniture,Tables,7,0.15,3264.53,620.26
ORD-103286,2023-01-25,Northern Emirates,SMB,Technology,Monitors,6,0.3,1497.22,-29.94
ORD-103195,2023-01-26,Dubai,Corporate,Office Supplies,Pens,2,0.0,124.64,52.35
ORD-102827,2023-01-26,Northern Emirates,Consumer,Office Supplies,Binders,7,0.2,277.68,83.3
ORD-103293,2023-01-26,Dubai,SMB,Office Supplies,Storage,2,0.1,86.89,31.28
ORD-101145,2023-01-26,Dubai,Consumer,Furniture,Bookcases,6,0.15,3437.88,653.2
ORD-103422,2023-01-26,Abu Dhabi,Corporate,Technology,Laptops,7,0.0,6292.2,1006.75
ORD-105650,2023-01-26,Northern Emirates,Corporate,Technology,Phones,5,0.1,2410.44,241.04
ORD-100706,2023-01-26,Dubai,Consumer,Office Supplies,Pens,1,0.15,40.08,13.23
ORD-102387,2023-01-26,Northern Emirates,Consumer,Office Supplies,Binders,3,0.0,110.92,46.59
ORD-105157,2023-01-26,Dubai,Corporate,Office Supplies,Storage,3,0.0,104.59,43.93
ORD-102522,2023-01-26,Northern Emirates,Corporate,Furniture,Bookcases,6,0.2,3658.41,585.35
ORD-100297,2023-01-26,Abu Dhabi,Corporate,Technology,Monitors,8,0.2,5034.91,201.4
ORD-103808,2023-01-26,Abu Dhabi,Corporate,Technology,Accessories,4,0.2,1948.23,77.93
ORD-102662,2023-01-27,Dubai,Consumer,Office Supplies,Pens,8,0.0,397.63,167.0
ORD-102175,2023-01-27,Sharjah,Corporate,Technology,Phones,3,0.3,2555.51,-51.11
ORD-100401,2023-01-27,Sharjah,Consumer,Furniture,Chairs,4,0.0,1263.33,353.73
ORD-102864,2023-01-27,Abu Dhabi,Consumer,Office Supplies,Paper,5,0.0,76.29,32.04
ORD-102063,2023-01-27,Dubai,SMB,Technology,Phones,2,0.15,1053.9,73.77
ORD-103450,2023-01-27,Northern Emirates,Consumer,Furniture,Tables,1,0.0,418.87,117.28
ORD-105764,2023-01-27,Abu Dhabi,Consumer,Office Supplies,Pens,2,0.2,46.01,13.8
ORD-102418,2023-01-27,Abu Dhabi,Corporate,Office Supplies,Binders,2,0.0,114.47,48.08
ORD-100369,2023-01-27,Dubai,Consumer,Technology,Accessories,3,0.0,2980.78,476.92
ORD-100556,2023-01-28,Dubai,Consumer,Office Supplies,Paper,6,0.1,214.71,77.3
ORD-100293,2023-01-28,Abu Dhabi,SMB,Technology,Accessories,3,0.1,2667.59,266.76
ORD-100255,2023-01-28,Abu Dhabi,Consumer,Furniture,Chairs,2,0.1,852.61,187.57
ORD-100582,2023-01-28,Northern Emirates,Consumer,Technology,Phones,2,0.0,2336.72,373.88
ORD-100413,2023-01-28,Abu Dhabi,SMB,Office Supplies,Binders,4,0.1,134.52,48.43
ORD-103484,2023-01-28,Dubai,Corporate,Furniture,Bookcases,8,0.1,1848.97,406.77
ORD-104266,2023-01-28,Dubai,Consumer,Furniture,Storage,5,0.15,2661.76,505.73
ORD-101917,2023-01-28,Dubai,SMB,Furniture,Storage,3,0.0,1353.56,379.0
ORD-101766,2023-01-28,Dubai,SMB,Furniture,Bookcases,6,0.2,1625.03,260.0
ORD-103891,2023-01-29,Northern Emirates,Consumer,Office Supplies,Storage,3,0.1,97.19,34.99
ORD-103596,2023-01-29,Sharjah,Consumer,Office Supplies,Pens,4,0.1,136.82,49.26
ORD-100618,2023-01-29,Dubai,Consumer,Furniture,Storage,6,0.0,2978.2,833.9
ORD-101740,2023-01-29,Abu Dhabi,Corporate,Furniture,Chairs,6,0.1,3506.44,771.42
ORD-104488,2023-01-29,Abu Dhabi,Corporate,Technology,Laptops,5,0.0,4381.81,701.09
ORD-105549,2023-01-29,Dubai,Consumer,Furniture,Bookcases,4,0.0,2603.17,728.89
ORD-100548,2023-01-29,Dubai,SMB,Technology,Phones,6,0.0,3750.67,600.11
ORD-101912,2023-01-30,Dubai,Consumer,Furniture,Bookcases,1,0.1,251.53,55.34
ORD-104253,2023-01-30,Northern Emirates,Consumer,Office Supplies,Binders,8,0.2,442.32,132.7
ORD-100577,2023-01-30,Sharjah,Corporate,Furniture,Bookcases,8,0.15,5203.52,988.67
ORD-101165,2023-01-30,Abu Dhabi,Corporate,Technology,Laptops,5,0.2,3922.07,156.88
ORD-102081,2023-01-30,Dubai,SMB,Office Supplies,Binders,7,0.15,318.41,105.08
ORD-103634,2023-01-30,Sharjah,Consumer,Office Supplies,Storage,4,0.1,255.82,92.1
ORD-104934,2023-01-30,Dubai,Corporate,Technology,Laptops,7,0.15,2237.39,156.62
ORD-102942,2023-01-30,Dubai,Consumer,Furniture,Tables,7,0.15,2684.25,510.01
ORD-101335,2023-01-30,Dubai,Consumer,Furniture,Chairs,1,0.2,368.93,59.03
ORD-104530,2023-01-30,Dubai,SMB,Furniture,Storage,8,0.15,3831.8,728.04
ORD-102452,2023-01-30,Dubai,Consumer,Technology,Accessories,8,0.0,5621.95,899.51
ORD-100726,2023-01-30,Dubai,Corporate,Furniture,Tables,2,0.0,1025.45,287.13
ORD-104456,2023-01-30,Dubai,SMB,Technology,Monitors,3,0.1,1644.19,164.42
ORD-104079,2023-01-31,Sharjah,Corporate,Office Supplies,Pens,7,0.15,379.07,125.09
ORD-103039,2023-01-31,Dubai,Consumer,Furniture,Storage,6,0.0,2509.66,702.7
ORD-105962,2023-01-31,Abu Dhabi,Consumer,Office Supplies,Paper,5,0.1,138.74,49.95
ORD-100354,2023-01-31,Sharjah,Corporate,Furniture,Bookcases,3,0.3,889.24,88.92
ORD-103944,2023-01-31,Dubai,SMB,Furniture,Chairs,4,0.0,2403.18,672.89
ORD-103092,2023-01-31,Abu Dhabi,Consumer,Furniture,Storage,7,0.0,1974.0,552.72
ORD-102797,2023-01-31,Dubai,Consumer,Technology,Accessories,3,0.3,2002.93,-40.06
ORD-103666,2023-01-31,Sharjah,Corporate,Office Supplies,Storage,6,0.0,200.74,84.31
ORD-100584,2023-02-01,Abu Dhabi,Corporate,Technology,Accessories,7,0.2,6062.56,242.5
ORD-103970,2023-02-01,Dubai,Corporate,Furniture,Bookcases,5,0.0,1221.28,341.96
ORD-104613,2023-02-01,Abu Dhabi,Corporate,Office Supplies,Paper,3,0.0,179.65,75.45
ORD-104451,2023-02-01,Dubai,Consumer,Furniture,Storage,8,0.0,4888.68,1368.83
ORD-101431,2023-02-01,Abu Dhabi,Consumer,Technology,Phones,8,0.0,5389.76,862.36
ORD-100681,2023-02-02,Sharjah,Consumer,Technology,Accessories,8,0.1,4408.78,440.88
ORD-105898,2023-02-02,Dubai,Corporate,Furniture,Chairs,5,0.0,2465.57,690.36
ORD-103220,2023-02-02,Abu Dhabi,Consumer,Office Supplies,Pens,5,0.0,213.3,89.59
ORD-105066,2023-02-02,Dubai,Consumer,Furniture,Tables,6,0.15,1358.57,258.13
ORD-104419,2023-02-02,Sharjah,Corporate,Furniture,Storage,2,0.0,597.65,167.34
ORD-101316,2023-02-02,Northern Emirates,Corporate,Furniture,Tables,5,0.0,2052.31,574.65
ORD-103420,2023-02-02,Sharjah,Consumer,Technology,Phones,6,0.0,3891.64,622.66
ORD-103399,2023-02-03,Dubai,SMB,Office Supplies,Pens,6,0.2,190.61,57.18
ORD-104011,2023-02-03,Abu Dhabi,Consumer,Technology,Phones,6,0.1,3635.98,363.6
ORD-102319,2023-02-03,Dubai,SMB,Technology,Laptops,7,0.1,5626.11,562.61
ORD-105670,2023-02-03,Abu Dhabi,Corporate,Technology,Accessories,5,0.0,3579.4,572.7
ORD-103901,2023-02-03,Dubai,SMB,Office Supplies,Storage,2,0.0,115.87,48.67
ORD-104963,2023-02-03,Abu Dhabi,Corporate,Technology,Laptops,4,0.1,2640.09,264.01
ORD-104644,2023-02-03,Sharjah,Consumer,Office Supplies,Storage,3,0.2,66.63,19.99
ORD-105455,2023-02-03,Dubai,Consumer,Office Supplies,Storage,2,0.3,118.57,28.46
ORD-103681,2023-02-03,Abu Dhabi,Corporate,Office Supplies,Binders,1,0.0,65.28,27.42
ORD-101884,2023-02-04,Sharjah,Corporate,Office Supplies,Paper,8,0.0,368.99,154.98
ORD-105100,2023-02-04,Northern Emirates,Consumer,Technology,Monitors,4,0.1,2781.54,278.15
ORD-102487,2023-02-04,Dubai,Corporate,Furniture,Bookcases,1,0.0,485.43,135.92
ORD-105166,2023-02-04,Abu Dhabi,Corporate,Furniture,Tables,1,0.15,396.4,75.32
ORD-101347,2023-02-04,Northern Emirates,Corporate,Furniture,Storage,8,0.0,2832.43,793.08
ORD-105042,2023-02-04,Dubai,Consumer,Technology,Phones,3,0.0,2661.47,425.84
