customer_id,tenure_months,monthly_charges,contract,support_calls,payment_method,churned
C10039,50,85.52,Month-to-month,1,Manual,0
C10040,1,110.63,Two year,2,Auto-pay,1
C10041,40,114.68,One year,1,Manual,0
C10042,48,111.32,Month-to-month,1,Manual,1
C10043,3,61.02,Month-to-month,0,Manual,1
C10044,40,57.95,One year,1,Auto-pay,0
C10045,67,50.16,Month-to-month,1,Auto-pay,0
C10046,37,79.62,Month-to-month,1,Auto-pay,0
C10047,13,102.99,Month-to-month,2,Auto-pay,1
C10048,56,58.05,Two year,2,Manual,0
C10049,5,69.51,Month-to-month,5,Auto-pay,1
C10050,61,94.4,Month-to-month,4,Manual,0
C10051,68,65.37,Two year,0,Auto-pay,0
C10052,11,69.29,Two year,0,Auto-pay,0
C10053,20,108.43,Month-to-month,2,Auto-pay,1
C10054,60,75.71,Two year,2,Auto-pay,0
C10055,53,53.39,Month-to-month,0,Auto-pay,0
C10056,39,77.89,One year,0,Manual,0
C10057,48,88.0,One year,1,Manual,0
C10058,62,150.14,One year,1,Manual,0
C10059,51,120.57,Month-to-month,0,Auto-pay,0
C10060,41,170.77,Month-to-month,0,Manual,0
C10061,28,43.04,One year,2,Auto-pay,0
C10062,64,116.74,Month-to-month,2,Auto-pay,0
C10063,41,121.59,Month-to-month,3,Auto-pay,1
C10064,60,75.91,Two year,1,Auto-pay,0
C10065,61,63.23,One year,1,Auto-pay,0
C10066,24,97.12,Month-to-month,3,Auto-pay,0
C10067,53,65.22,Month-to-month,1,Manual,0
C10068,46,40.68,Month-to-month,0,Auto-pay,0
C10069,17,32.48,One year,1,Manual,0
C10070,41,30.1,One year,2,Auto-pay,0
C10071,68,81.99,Month-to-month,2,Auto-pay,0
C10072,38,95.14,Two year,5,Auto-pay,1
C10073,49,45.76,Month-to-month,2,Auto-pay,0
C10074,8,89.51,Two year,0,Manual,0
C10075,28,89.3,One year,1,Auto-pay,1
C10076,2,85.4,One year,2,Manual,1
C10077,26,95.4,Month-to-month,0,Manual,0
C10078,25,81.47,Two year,1,Manual,0
C10079,14,114.99,Month-to-month,1,Auto-pay,0
C10080,36,93.71,Month-to-month,0,Auto-pay,1
C10081,36,37.36,Month-to-month,0,Auto-pay,0
C10082,40,130.2,Month-to-month,1,Manual,1
C10083,29,46.18,Two year,2,Manual,0
C10084,37,74.51,One year,4,Auto-pay,0
C10085,42,151.56,Month-to-month,2,Auto-pay,0
C10086,11,89.69,Two year,0,Auto-pay,0
C10087,35,50.32,Month-to-month,1,Auto-pay,0
C10088,59,85.1,One year,2,Manual,0
C10089,51,90.67,One year,1,Manual,0
C10090,52,81.03,Two year,2,Auto-pay,0
C10091,21,59.8,One year,0,Manual,0
C10092,62,36.61,Month-to-month,1,Manual,0
C10093,35,40.06,Month-to-month,1,Manual,0
C10094,63,51.62,Month-to-month,2,Manual,1
C10095,12,113.85,Month-to-month,2,Auto-pay,0
C10096,60,38.43,Month-to-month,1,Manual,0
C10097,22,79.67,Month-to-month,2,Auto-pay,0
C10098,48,116.95,One year,0,Manual,0
C10099,2,94.52,Month-to-month,1,Manual,1
C10100,32,117.64,One year,1,Auto-pay,0
C10101,56,57.41,One year,2,Auto-pay,0
C10102,46,93.84,Month-to-month,4,Auto-pay,0
C10103,23,109.53,One year,2,Auto-pay,0
C10104,18,103.24,Month-to-month,1,Auto-pay,0
C10105,17,101.7,Two year,2,Manual,1
C10106,66,39.16,Month-to-month,4,Manual,0
C10107,22,95.01,Month-to-month,1,Auto-pay,1
C10108,45,89.63,Month-to-month,2,Manual,0
C10109,1,70.49,One year,1,Manual,0
C10110,43,56.85,Month-to-month,2,Auto-pay,0
C10111,47,88.51,Month-to-month,1,Auto-pay,0
C10112,42,45.38,One year,1,Manual,1
C10113,60,62.06,Two year,0,Auto-pay,0
C10114,49,103.26,Month-to-month,2,Manual,0
C10115,15,106.26,Month-to-month,0,Manual,0
C10116,49,89.46,Month-to-month,2,Manual,1
C10117,17,61.21,One year,1,Auto-pay,0
C10118,4,41.65,Month-to-month,2,Auto-pay,1
C10119,67,51.62,One year,1,Auto-pay,0
C10120,31,113.57,Month-to-month,1,Auto-pay,1
C10121,31,80.84,Month-to-month,1,Manual,0
C10122,70,71.94,Month-to-month,2,Manual,0
C10123,44,79.9,Month-to-month,0,Auto-pay,0
C10124,54,95.54,One year,0,Auto-pay,0
C10125,63,44.2,One year,2,Auto-pay,0
C10126,14,60.41,One year,0,Auto-pay,0
C10127,11,94.38,Month-to-month,3,Auto-pay,1
C10128,31,82.19,Month-to-month,1,Auto-pay,0
C10129,6,108.18,One year,0,Auto-pay,0
C10130,33,97.6,One year,1,Auto-pay,0
C10131,39,51.84,One year,2,Auto-pay,0
C10132,70,20.0,Month-to-month,3,Auto-pay,0
C10133,13,81.13,Month-to-month,2,Auto-pay,0
C10134,68,43.64,One year,3,Auto-pay,0
C10135,18,90.23,Month-to-month,1,Auto-pay,0
C10136,6,122.71,Month-to-month,4,Manual,1
C10137,61,44.11,One year,3,Auto-pay,0
C10138,19,94.39,Month-to-month,0,Auto-pay,0
C10139,22,101.11,Month-to-month,2,Auto-pay,0
C10140,6,85.37,Month-to-month,0,Auto-pay,1
C10141,39,84.84,One year,0,Manual,0
C10142,14,20.0,Month-to-month,2,Manual,0
C10143,44,76.97,One year,2,Auto-pay,0
C10144,32,74.74,Month-to-month,1,Auto-pay,0
C10145,20,106.49,One year,1,Manual,0
C10146,43,103.8,Month-to-month,0,Auto-pay,0
C10147,11,59.69,One year,2,Manual,0
C10148,58,20.0,Month-to-month,0,Manual,0
C10149,50,27.12,One year,0,Manual,0
C10150,7,117.26,Month-to-month,1,Auto-pay,1
C10151,71,72.68,One year,1,Auto-pay,0
C10152,20,31.6,Month-to-month,2,Auto-pay,0
C10153,69,35.33,Month-to-month,1,Manual,0
C10154,44,81.92,Two year,1,Manual,0
C10155,66,78.63,Month-to-month,0,Auto-pay,0
C10156,33,124.68,Month-to-month,4,Auto-pay,0
C10157,55,72.59,One year,1,Auto-pay,0
C10158,22,86.59,One year,3,Auto-pay,1
C10159,50,73.74,Month-to-month,2,Auto-pay,0
C10160,13,99.57,Month-to-month,1,Auto-pay,0
C10161,11,127.8,Month-to-month,4,Auto-pay,1
C10162,51,103.33,Month-to-month,0,Auto-pay,0
C10163,3,134.13,Month-to-month,1,Manual,1
C10164,17,91.23,Month-to-month,1,Manual,1
C10165,35,27.42,Two year,0,Auto-pay,0
C10166,49,50.28,Two year,0,Manual,0
C10167,42,99.63,One year,2,Auto-pay,0
C10168,66,67.76,Month-to-month,1,Auto-pay,0
C10169,52,75.06,Two year,2,Auto-pay,0
C10170,16,50.7,One year,1,Auto-pay,0
C10171,50,118.33,Month-to-month,3,Manual,0
C10172,52,120.94,Month-to-month,1,Manual,0
C10173,61,68.13,One year,0,Auto-pay,0
C10174,57,68.42,Two year,1,Manual,0
C10175,45,113.26,Month-to-month,0,Manual,1
C10176,45,106.38,Month-to-month,1,Auto-pay,0
C10177,33,26.07,One year,2,Auto-pay,0
C10178,24,95.38,Month-to-month,1,Manual,0
C10179,68,89.87,Month-to-month,0,Auto-pay,0
C10180,18,80.6,One year,1,Manual,0
C10181,60,48.67,Month-to-month,1,Manual,0
C10182,56,49.33,Month-to-month,0,Manual,0
C10183,44,20.0,Month-to-month,3,Auto-pay,0
C10184,24,55.31,Month-to-month,3,Auto-pay,1
C10185,51,20.0,Month-to-month,3,Auto-pay,1
C10186,58,58.77,One year,1,Auto-pay,0
C10187,43,87.06,Two year,2,Auto-pay,0
C10188,60,39.97,One year,5,Manual,0
C10189,37,114.96,Month-to-month,0,Auto-pay,0
C10190,62,133.68,Month-to-month,2,Auto-pay,1
C10191,29,82.11,Month-to-month,0,Auto-pay,0
C10192,58,93.26,One year,1,Manual,0
C10193,5,26.45,Month-to-month,2,Manual,1
C10194,64,80.5,Month-to-month,2,Manual,0
C10195,48,32.85,Month-to-month,1,Auto-pay,0
C10196,67,23.28,One year,1,Manual,0
C10197,66,37.02,Month-to-month,5,Auto-pay,0
C10198,36,70.37,Month-to-month,2,Manual,1
C10199,47,73.78,One year,0,Manual,0
C10200,21,72.82,One year,3,Auto-pay,0
C10201,70,40.09,Month-to-month,1,Auto-pay,0
C10202,14,78.18,One year,3,Manual,1
C10203,14,54.14,One year,1,Manual,0
C10204,28,78.86,Month-to-month,1,Auto-pay,1
C10205,31,67.92,One year,1,Auto-pay,0
C10206,18,20.92,Month-to-month,0,Auto-pay,1
C10207,69,54.62,One year,1,Auto-pay,0
C10208,60,91.33,Month-to-month,2,Auto-pay,0
C10209,15,100.16,Month-to-month,1,Auto-pay,1
C10210,60,38.04,One year,0,Auto-pay,0
C10211,23,52.08,One year,1,Auto-pay,0
C10212,32,61.58,Month-to-month,3,Auto-pay,1
C10213,70,110.15,Two year,1,Auto-pay,0
C10214,58,89.07,Month-to-month,2,Auto-pay,0
C10215,25,36.6,Month-to-month,1,Manual,0
C10216,46,89.76,Month-to-month,2,Manual,1
C10217,57,113.06,Month-to-month,3,Auto-pay,0
C10218,41,81.49,Two year,2,Auto-pay,0
C10219,18,51.75,Month-to-month,2,Auto-pay,1
C10220,58,100.45,Month-to-month,0,Auto-pay,0
C10221,26,80.55,One year,0,Manual,0
C10222,58,67.51,Month-to-month,0,Auto-pay,0
C10223,39,101.79,One year,0,Manual,0
C10224,57,74.88,Month-to-month,1,Manual,0
C10225,59,77.42,Two year,3,Manual,0
C10226,39,100.81,Month-to-month,2,Manual,1
C10227,24,59.97,Two year,4,Auto-pay,0
C10228,23,40.31,Month-to-month,1,Auto-pay,0
C10229,3,84.76,Month-to-month,0,Auto-pay,1
C10230,29,121.7,Month-to-month,0,Manual,1
C10231,15,20.0,Month-to-month,1,Auto-pay,0
C10232,49,97.0,Month-to-month,1,Manual,0
C10233,47,76.04,Month-to-month,1,Manual,0
C10234,65,58.98,Month-to-month,4,Auto-pay,0
C10235,12,55.61,Month-to-month,0,Auto-pay,0
C10236,52,102.09,One year,0,Auto-pay,0
C10237,17,95.4,Two year,0,Auto-pay,0
C10238,57,43.89,Month-to-month,0,Auto-pay,0
C10239,58,84.14,Month-to-month,1,Auto-pay,1
C10240,21,116.17,One year,2,Auto-pay,0
C10241,69,95.92,One year,0,Auto-pay,0
C10242,32,24.96,Month-to-month,1,Manual,1
C10243,46,94.38,Month-to-month,1,Manual,0
C10244,54,37.58,Month-to-month,3,Manual,0
C10245,43,81.54,Month-to-month,1,Auto-pay,0
C10246,62,52.57,One year,1,Manual,0
C10247,5,87.07,Month-to-month,1,Manual,1
C10248,37,54.91,Month-to-month,1,Manual,0
C10249,57,43.61,Two year,1,Auto-pay,0
C10250,2,84.45,Month-to-month,2,Auto-pay,1
C10251,34,78.46,Two year,3,Auto-pay,1
C10252,63,99.65,Month-to-month,0,Manual,0
C10253,24,59.09,One year,2,Auto-pay,0
C10254,7,29.58,Month-to-month,3,Auto-pay,1
C10255,28,95.28,Two year,2,Auto-pay,0
C10256,38,118.41,Month-to-month,0,Manual,0
C10257,7,57.67,Month-to-month,0,Manual,1
C10258,35,89.58,One year,1,Manual,0
C10259,47,65.65,Month-to-month,2,Manual,0
C10260,69,132.98,Two year,1,Auto-pay,0
C10261,48,59.22,Month-to-month,2,Manual,0
C10262,9,73.62,Month-to-month,1,Manual,0
C10263,67,20.0,Month-to-month,2,Auto-pay,0
C10264,48,122.19,Month-to-month,3,Auto-pay,0
C10265,60,58.97,Two year,1,Auto-pay,0
C10266,23,113.95,Two year,2,Auto-pay,0
C10267,3,54.9,Two year,2,Auto-pay,0
C10268,31,72.64,Two year,5,Auto-pay,0
C10269,26,51.56,Month-to-month,2,Auto-pay,0
C10270,30,46.96,One year,3,Auto-pay,0
C10271,67,66.21,Month-to-month,0,Manual,0
C10272,25,70.85,One year,3,Auto-pay,0
C10273,20,64.05,Two year,2,Manual,0
C10274,63,29.34,Month-to-month,0,Auto-pay,0
C10275,64,83.51,Month-to-month,1,Manual,0
C10276,52,20.0,Month-to-month,1,Auto-pay,0
C10277,9,64.86,Two year,0,Auto-pay,1
C10278,64,27.59,Two year,5,Manual,0
C10279,3,102.01,Two year,0,Auto-pay,0
C10280,58,111.96,One year,0,Auto-pay,0
C10281,53,92.76,Two year,1,Manual,0
C10282,30,60.71,Two year,1,Auto-pay,0
C10283,14,52.75,Month-to-month,0,Manual,0
C10284,5,67.39,Two year,2,Auto-pay,0
C10285,3,73.35,One year,0,Manual,0
C10286,22,89.48,Month-to-month,2,Auto-pay,0
C10287,34,86.94,One year,3,Manual,0
C10288,25,20.0,Month-to-month,2,Auto-pay,0
C10289,44,94.86,Month-to-month,2,Auto-pay,0
C10290,8,86.57,Month-to-month,2,Auto-pay,1
C10291,50,51.55,One year,1,Manual,0
C10292,11,45.97,One year,0,Manual,0
C10293,32,76.85,Month-to-month,1,Auto-pay,0
C10294,2,80.4,One year,0,Manual,0
C10295,66,41.94,Month-to-month,0,Auto-pay,0
C10296,32,76.75,Two year,0,Auto-pay,0
C10297,27,80.54,One year,2,Auto-pay,0
C10298,13,100.74,Two year,0,Manual,1
C10299,17,71.67,One year,2,Auto-pay,0
C10300,20,20.0,Month-to-month,0,Auto-pay,1
C10301,7,82.56,Month-to-month,4,Auto-pay,1
C10302,35,24.28,One year,1,Auto-pay,0
C10303,11,49.5,Month-to-month,2,Auto-pay,0
C10304,12,34.48,Month-to-month,4,Manual,1
C10305,7,89.82,Two year,1,Manual,0
C10306,5,42.41,Two year,2,Auto-pay,0
C10307,59,104.98,Month-to-month,2,Manual,0
C10308,55,40.26,Month-to-month,2,Auto-pay,1
C10309,48,20.0,Two year,1,Manual,0
C10310,63,64.56,Month-to-month,1,Auto-pay,0
C10311,33,35.16,Month-to-month,1,Auto-pay,0
C10312,24,114.5,Month-to-month,2,Auto-pay,1
C10313,31,54.61,Month-to-month,1,Auto-pay,0
C10314,33,109.63,One year,2,Auto-pay,0
C10315,8,65.82,Two year,0,Auto-pay,0
C10316,21,85.69,One year,3,Manual,0
C10317,34,59.12,Month-to-month,3,Manual,0
C10318,33,146.31,One year,0,Auto-pay,0
C10319,28,40.53,One year,3,Auto-pay,0
C10320,7,20.0,Month-to-month,2,Auto-pay,0
C10321,21,82.81,Month-to-month,2,Manual,0
C10322,33,44.25,Month-to-month,1,Auto-pay,0
C10323,16,81.13,One year,1,Auto-pay,0
C10324,33,72.92,One year,3,Auto-pay,0
C10325,23,59.12,Two year,2,Auto-pay,1
C10326,22,62.79,Two year,3,Auto-pay,0
C10327,67,87.28,Two year,2,Manual,0
C10328,62,64.16,Two year,5,Manual,0
C10329,50,70.42,One year,0,Auto-pay,0
C10330,30,60.07,Two year,1,Auto-pay,0
C10331,57,123.85,Month-to-month,2,Manual,0
C10332,11,114.29,Month-to-month,1,Manual,0
C10333,14,30.83,Two year,1,Auto-pay,0
C10334,54,75.08,Month-to-month,2,Manual,0
C10335,65,50.56,Month-to-month,2,Auto-pay,0
C10336,11,37.64,Two year,0,Auto-pay,0
C10337,35,20.0,One year,2,Auto-pay,0
C10338,7,65.24,Month-to-month,2,Auto-pay,1
C10339,70,67.54,Month-to-month,5,Auto-pay,0
C10340,27,115.68,One year,2,Manual,0
C10341,58,106.42,One year,2,Manual,0
C10342,57,89.75,One year,0,Auto-pay,0
C10343,12,97.14,One year,1,Manual,0
C10344,68,100.55,Month-to-month,0,Auto-pay,0
C10345,69,89.63,One year,2,Manual,0
C10346,47,116.54,One year,1,Auto-pay,0
C10347,69,36.91,Month-to-month,0,Auto-pay,0
C10348,64,60.38,Two year,0,Auto-pay,0
C10349,40,56.14,Month-to-month,2,Auto-pay,0
C10350,41,58.46,Month-to-month,1,Auto-pay,0
C10351,71,70.45,Month-to-month,0,Auto-pay,0
C10352,14,123.98,Month-to-month,0,Auto-pay,0
C10353,34,101.86,One year,1,Auto-pay,0
C10354,41,111.69,Two year,1,Manual,0
C10355,7,72.66,Month-to-month,1,Auto-pay,1
C10356,53,71.3,One year,1,Auto-pay,0
C10357,45,92.35,Two year,3,Auto-pay,0
C10358,6,87.96,One year,1,Manual,1
C10359,61,87.94,Two year,2,Manual,1
C10360,30,144.55,One year,1,Manual,0
C10361,8,92.58,Two year,2,Auto-pay,0
C10362,6,51.39,One year,2,Manual,0
C10363,20,53.88,Month-to-month,0,Auto-pay,1
C10364,29,100.26,Month-to-month,2,Auto-pay,0
C10365,29,97.91,Month-to-month,0,Manual,1
C10366,40,104.36,Two year,0,Auto-pay,0
C10367,47,90.63,Month-to-month,1,Auto-pay,0
C10368,51,43.8,Month-to-month,0,Manual,0
C10369,32,121.1,Month-to-month,0,Auto-pay,1
C10370,26,115.29,Month-to-month,1,Auto-pay,0
C10371,53,63.43,Month-to-month,3,Auto-pay,0
C10372,9,85.99,Two year,0,Auto-pay,0
C10373,64,80.57,Two year,1,Manual,0
C10374,36,63.85,One year,2,Auto-pay,0
C10375,45,40.22,Month-to-month,2,Auto-pay,0
C10376,10,92.23,Two year,2,Auto-pay,0
C10377,7,30.24,Month-to-month,0,Manual,0
C10378,7,57.14,Month-to-month,2,Manual,1
C10379,29,126.35,Month-to-month,1,Auto-pay,1
C10380,53,87.49,Month-to-month,2,Manual,0
C10381,69,86.49,Month-to-month,0,Manual,0
C10382,44,66.16,Month-to-month,3,Manual,0
C10383,31,28.16,Month-to-month,2,Manual,0
C10384,38,87.43,Two year,2,Manual,0
C10385,12,89.97,Two year,0,Auto-pay,0
C10386,12,98.83,Two year,1,Manual,0
C10387,61,63.22,One year,2,Auto-pay,0
C10388,66,62.74,One year,3,Auto-pay,0
C10389,60,92.04,One year,1,Auto-pay,0
C10390,62,37.26,Two year,2,Manual,0
C10391,52,99.39,Month-to-month,3,Manual,1
C10392,60,70.19,One year,1,Auto-pay,0
C10393,4,83.79,Month-to-month,2,Manual,1
C10394,5,144.23,Month-to-month,0,Manual,1
C10395,64,66.84,One year,2,Auto-pay,0
C10396,6,79.18,Two year,3,Manual,0
C10397,19,75.9,Two year,2,Manual,0
C10398,34,20.0,Month-to-month,2,Manual,0
C10399,38,93.34,Month-to-month,2,Auto-pay,1
C10400,21,20.0,Two year,1,Auto-pay,0
C10401,63,97.72,One year,1,Auto-pay,0
C10402,24,54.25,Month-to-month,6,Manual,1
C10403,56,52.85,Month-to-month,1,Auto-pay,0
C10404,51,73.85,One year,2,Manual,0
C10405,4,35.23,One year,2,Manual,0
C10406,67,71.64,Two year,2,Auto-pay,0
C10407,15,42.12,Month-to-month,2,Manual,1
C10408,43,36.32,Month-to-month,1,Auto-pay,0
C10409,43,68.45,Month-to-month,2,Manual,1
C10410,3,111.71,Month-to-month,3,Auto-pay,1
C10411,69,96.67,Month-to-month,2,Auto-pay,0
C10412,3,58.69,Month-to-month,4,Auto-pay,0
C10413,31,70.09,Month-to-month,1,Manual,1
C10414,17,58.71,Month-to-month,3,Auto-pay,0
C10415,15,39.17,Month-to-month,4,Auto-pay,1
C10416,1,43.58,Two year,2,Auto-pay,1
C10417,9,82.94,One year,0,Auto-pay,0
C10418,10,53.09,Month-to-month,1,Manual,0
C10419,48,73.18,Month-to-month,2,Auto-pay,0
C10420,4,44.38,Month-to-month,5,Auto-pay,1
C10421,39,98.75,One year,2,Manual,0
C10422,20,94.17,Month-to-month,2,Manual,0
C10423,3,121.7,Month-to-month,0,Auto-pay,1
C10424,4,115.85,Month-to-month,1,Auto-pay,0
C10425,60,47.35,Two year,1,Auto-pay,0
C10426,65,49.2,Month-to-month,0,Manual,0
C10427,44,85.54,Month-to-month,1,Auto-pay,0
C10428,38,48.41,One year,2,Auto-pay,0
C10429,17,82.06,Two year,2,Auto-pay,0
C10430,62,64.61,One year,2,Auto-pay,0
C10431,35,102.5,Month-to-month,1,Auto-pay,0
C10432,49,103.36,One year,4,Auto-pay,0
C10433,56,65.81,Month-to-month,1,Auto-pay,0
C10434,33,20.12,Month-to-month,1,Auto-pay,0
C10435,24,105.31,Month-to-month,3,Auto-pay,1
C10436,34,56.67,Month-to-month,1,Manual,1
C10437,64,74.3,Month-to-month,1,Manual,0
C10438,52,70.9,Month-to-month,0,Manual,0
C10439,50,86.52,One year,1,Auto-pay,0
C10440,23,56.33,Month-to-month,2,Manual,1
C10441,23,41.44,Month-to-month,0,Auto-pay,0
C10442,38,79.55,Month-to-month,1,Auto-pay,1
C10443,2,99.79,One year,1,Auto-pay,0
C10444,9,71.3,One year,2,Manual,0
C10445,40,71.21,One year,3,Auto-pay,0
C10446,56,39.4,Month-to-month,1,Auto-pay,0
C10447,28,90.42,One year,0,Auto-pay,0
C10448,24,92.59,Month-to-month,0,Manual,1
C10449,50,71.78,Month-to-month,2,Manual,0
C10450,13,45.77,Month-to-month,3,Manual,1
C10451,8,77.45,One year,3,Manual,1
C10452,53,79.98,One year,2,Auto-pay,0
C10453,36,73.77,One year,0,Manual,0
C10454,7,42.51,One year,2,Auto-pay,1
C10455,46,82.61,Month-to-month,1,Auto-pay,1
C10456,68,79.88,Month-to-month,0,Auto-pay,0
C10457,26,87.56,Month-to-month,1,Auto-pay,0
C10458,49,70.91,Two year,1,Auto-pay,0
C10459,50,113.51,One year,1,Auto-pay,0
C10460,53,74.94,Month-to-month,2,Manual,0
C10461,34,116.85,One year,1,Auto-pay,0
C10462,6,81.69,Month-to-month,0,Auto-pay,0
C10463,9,40.25,One year,1,Manual,0
C10464,41,100.07,Two year,2,Auto-pay,0
C10465,37,64.07,One year,0,Auto-pay,0
C10466,3,61.68,Two year,2,Auto-pay,0
C10467,17,106.14,Month-to-month,2,Auto-pay,1
C10468,24,37.52,One year,2,Auto-pay,0
C10469,58,22.45,Month-to-month,1,Manual,0
C10470,52,68.43,One year,2,Auto-pay,0
C10471,62,84.04,Month-to-month,2,Auto-pay,0
C10472,16,101.03,One year,1,Auto-pay,0
C10473,62,79.35,Month-to-month,0,Auto-pay,0
C10474,50,20.0,One year,1,Manual,0
C10475,4,45.87,Month-to-month,2,Auto-pay,0
C10476,40,37.21,One year,0,Auto-pay,0
C10477,19,20.0,Month-to-month,1,Auto-pay,1
C10478,65,69.9,Month-to-month,2,Auto-pay,0
C10479,32,90.33,One year,1,Auto-pay,0
C10480,36,104.14,Month-to-month,2,Auto-pay,0
C10481,67,89.89,Month-to-month,1,Auto-pay,0
C10482,22,58.26,Month-to-month,1,Auto-pay,0
C10483,45,107.47,Month-to-month,1,Manual,0
C10484,63,68.69,Month-to-month,2,Auto-pay,0
C10485,41,76.81,Month-to-month,2,Auto-pay,0
C10486,34,55.13,Two year,3,Manual,0
C10487,22,67.65,Month-to-month,2,Auto-pay,0
C10488,21,62.36,One year,0,Auto-pay,0
C10489,60,33.55,Month-to-month,2,Auto-pay,0
C10490,30,94.11,Month-to-month,0,Manual,1
C10491,24,80.03,One year,0,Manual,0
C10492,32,98.85,Two year,1,Auto-pay,0
C10493,5,53.88,Month-to-month,1,Manual,1
C10494,16,96.16,Month-to-month,3,Auto-pay,1
C10495,65,27.94,One year,0,Auto-pay,0
C10496,57,91.24,One year,0,Auto-pay,0
C10497,64,95.27,One year,1,Manual,0
C10498,59,43.85,Two year,1,Auto-pay,0
C10499,3,108.5,Month-to-month,1,Manual,1
C10500,32,121.75,One year,1,Manual,1
C10501,10,57.75,Two year,3,Auto-pay,1
C10502,2,118.48,Month-to-month,1,Auto-pay,1
C10503,18,23.95,One year,1,Auto-pay,0
C10504,8,70.91,One year,2,Auto-pay,0
C10505,64,20.0,Month-to-month,1,Auto-pay,0
C10506,37,102.89,Month-to-month,1,Auto-pay,0
C10507,67,29.09,Two year,1,Manual,0
C10508,19,20.0,Month-to-month,2,Manual,0
C10509,36,82.87,Month-to-month,0,Auto-pay,0
C10510,24,106.09,Two year,2,Manual,0
C10511,37,62.87,Month-to-month,1,Auto-pay,0
C10512,38,79.09,Month-to-month,1,Auto-pay,0
C10513,4,127.86,Month-to-month,2,Auto-pay,1
C10514,48,46.48,Two year,0,Auto-pay,0
C10515,15,45.56,Month-to-month,4,Auto-pay,1
C10516,14,107.57,Two year,2,Manual,1
C10517,71,81.73,Two year,4,Manual,0
C10518,49,117.75,Month-to-month,1,Manual,0
C10519,7,36.13,One year,3,Auto-pay,0
C10520,8,21.33,Month-to-month,2,Manual,1
C10521,6,31.98,One year,4,Auto-pay,0
C10522,41,96.2,Month-to-month,3,Manual,1
C10523,48,111.02,Month-to-month,0,Manual,0
C10524,48,107.12,Month-to-month,1,Auto-pay,1
C10525,1,91.66,Month-to-month,1,Auto-pay,1
C10526,21,112.58,Month-to-month,1,Manual,0
C10527,14,56.78,One year,1,Manual,1
C10528,60,20.0,Month-to-month,1,Auto-pay,0
C10529,11,26.49,Month-to-month,1,Manual,1
C10530,56,31.4,One year,0,Manual,0
C10531,18,20.0,One year,2,Auto-pay,0
C10532,63,34.18,Two year,5,Auto-pay,0
C10533,23,47.24,Month-to-month,2,Auto-pay,0
C10534,25,93.2,One year,0,Auto-pay,0
C10535,39,83.83,Month-to-month,0,Auto-pay,0
C10536,67,120.25,One year,1,Auto-pay,0
C10537,32,37.81,Two year,1,Auto-pay,0
C10538,35,86.19,Month-to-month,1,Auto-pay,1
C10539,28,114.48,Month-to-month,2,Auto-pay,1
C10540,23,59.67,Month-to-month,3,Auto-pay,0
C10541,70,61.64,Month-to-month,1,Auto-pay,0
C10542,45,116.45,Month-to-month,0,Auto-pay,0
C10543,69,64.32,Two year,2,Auto-pay,0
C10544,63,118.0,One year,1,Manual,0
C10545,31,30.56,Month-to-month,0,Manual,0
C10546,64,123.57,Month-to-month,3,Auto-pay,0
C10547,10,112.72,Month-to-month,3,Auto-pay,1
C10548,18,46.31,Month-to-month,1,Auto-pay,0
C10549,33,65.75,Two year,1,Manual,0
C10550,11,37.77,One year,1,Auto-pay,0
